EmployeeID,Age,Gender,EducationLevel,YearsOfExperience,JobRole,SkillsScore,Certifications,CompanyType,WorkHoursPerWeek,Salary
57,57,Male,Bachelor,1,Manager,1,4,Startup,59,71298
58,35,Female,Bachelor,1,Data Analyst,8,4,Medium Scale,41,72639
59,52,Female,PhD,27,Data Scientist,7,4,Medium Scale,39,203572
60,36,Male,PhD,23,Manager,7,3,Startup,49,202155
61,29,Male,PhD,16,Data Analyst,4,3,MNC,54,153096
62,35,Female,Bachelor,15,Manager,9,1,Medium Scale,54,140930
63,44,Female,PhD,15,Developer,6,2,Startup,49,149894
64,42,Female,Bachelor,13,Designer,2,4,Startup,44,105167
65,37,Male,PhD,6,Data Analyst,1,7,MNC,58,114530
66,39,Male,Bachelor,20,Data Scientist,1,5,Startup,48,138438
67,45,Male,Bachelor,10,Developer,9,1,Medium Scale,44,108366
68,47,Male,Master,23,Data Analyst,4,1,Medium Scale,51,159467
69,46,Male,PhD,0,Developer,5,0,Startup,55,83305
70,50,Male,PhD,10,Data Scientist,3,4,Medium Scale,48,141185
71,36,Female,Bachelor,22,Data Analyst,4,6,Startup,36,153381
72,22,Female,Bachelor,20,Data Scientist,8,1,Medium Scale,50,160215
73,46,Male,Bachelor,3,Manager,4,0,MNC,47,81260
74,28,Female,Master,6,Data Scientist,9,5,Medium Scale,43,124354
75,30,Female,Master,25,Manager,9,7,MNC,41,206764
76,45,Male,Bachelor,14,Data Analyst,6,5,MNC,50,123833
77,22,Female,PhD,17,Manager,2,6,Startup,44,164973
78,29,Male,PhD,11,Data Analyst,10,4,MNC,58,149434
79,45,Male,Master,16,Data Analyst,7,3,Medium Scale,56,139722
80,32,Female,Master,0,Designer,9,0,Medium Scale,43,76453
81,38,Male,Bachelor,10,Data Analyst,6,3,MNC,56,104721
82,29,Male,PhD,27,Manager,3,5,Startup,57,209840
83,56,Male,Bachelor,0,Designer,7,5,MNC,41,67194
84,56,Male,Master,14,Designer,5,2,Medium Scale,50,121037
85,54,Male,PhD,27,Data Analyst,1,2,Medium Scale,43,191026
86,26,Male,PhD,20,Data Scientist,3,7,MNC,58,179197
87,49,Male,Master,9,Data Scientist,5,6,MNC,51,122232
88,28,Male,Bachelor,6,Designer,7,2,MNC,54,89599
89,30,Female,Bachelor,1,Data Analyst,3,2,Medium Scale,41,53144
90,29,Female,PhD,9,Data Scientist,6,6,Medium Scale,45,150450
91,33,Female,Master,23,Data Analyst,5,1,Medium Scale,42,163123
92,55,Male,PhD,3,Data Analyst,1,2,Startup,41,79684
93,54,Male,Master,11,Designer,10,1,Medium Scale,53,129485
94,44,Female,Bachelor,18,Designer,6,1,Medium Scale,54,127743
95,45,Female,Master,25,Developer,8,4,Startup,46,186218
96,58,Female,Bachelor,10,Data Scientist,1,1,Startup,41,99607
97,56,Male,Master,7,Data Scientist,2,1,Startup,42,91647
98,43,Female,PhD,17,Data Scientist,4,2,Startup,41,162306
99,48,Female,Bachelor,10,Manager,2,1,Startup,40,107438
100,56,Male,PhD,10,Data Analyst,9,3,Startup,59,144758
101,22,Female,PhD,12,Designer,10,6,MNC,43,152610
102,56,Male,Bachelor,2,Data Scientist,8,2,MNC,47,79802
103,58,Male,Bachelor,11,Developer,8,6,MNC,41,123011
104,35,Male,PhD,2,Data Scientist,4,0,MNC,42,95929
105,24,Female,PhD,9,Data Analyst,5,2,Medium Scale,56,132101
106,22,Female,PhD,26,Data Analyst,4,1,Startup,51,185726
107,26,Male,PhD,16,Designer,9,3,Medium Scale,51,157943
108,47,Female,Bachelor,21,Manager,2,6,Startup,50,153890
109,35,Female,Bachelor,1,Designer,8,2,Startup,56,67507
110,48,Female,PhD,16,Data Scientist,2,3,Medium Scale,36,149685
111,30,Female,Master,15,Developer,1,6,MNC,42,132382
112,36,Male,Master,1,Designer,10,0,Medium Scale,51,75342
113,36,Female,Bachelor,27,Manager,3,5,Medium Scale,47,187022
114,47,Male,PhD,21,Designer,9,7,Startup,52,189143
115,34,Male,PhD,29,Data Analyst,3,7,Startup,58,212887
116,53,Female,Bachelor,19,Data Scientist,9,0,Startup,56,153718
117,53,Male,Master,5,Data Scientist,7,5,MNC,44,104866
118,25,Female,Master,27,Data Scientist,10,4,Medium Scale,36,203141
119,51,Female,Master,24,Data Scientist,1,5,Medium Scale,36,173973
120,58,Male,Bachelor,28,Data Scientist,10,4,MNC,48,198423
121,44,Male,Master,9,Data Scientist,5,2,Medium Scale,50,118333
122,36,Male,Bachelor,27,Developer,9,4,Medium Scale,41,188326
123,50,Male,Bachelor,9,Manager,3,7,Startup,55,116910
124,57,Female,PhD,7,Data Scientist,9,7,MNC,55,141992
125,34,Female,Master,0,Manager,5,3,Startup,58,77778
126,53,Female,Bachelor,12,Data Scientist,9,4,MNC,46,127580
127,28,Male,Master,23,Designer,10,3,Startup,57,172476
128,43,Male,Master,8,Data Scientist,6,7,Medium Scale,48,112614
129,49,Male,PhD,21,Data Analyst,9,6,MNC,59,181953
130,23,Female,Master,9,Developer,7,6,MNC,38,116157
131,27,Male,PhD,14,Designer,7,5,Startup,38,148471
132,49,Female,Bachelor,4,Designer,8,5,MNC,52,89029
133,49,Male,Master,21,Data Analyst,7,5,Medium Scale,37,164973
134,41,Female,Bachelor,15,Data Scientist,9,4,Medium Scale,35,144740
135,51,Female,Master,12,Developer,9,5,Medium Scale,51,130911
136,32,Male,Bachelor,21,Designer,6,4,Startup,41,148210
137,49,Male,Master,24,Developer,7,4,MNC,50,176754
138,46,Female,Master,19,Designer,2,1,Startup,39,142863
139,54,Female,Master,17,Data Scientist,9,1,Medium Scale,53,154426
140,22,Male,Master,10,Designer,1,4,MNC,41,102220
141,48,Male,Master,26,Designer,1,6,Medium Scale,48,172845
142,34,Female,Master,8,Manager,3,3,MNC,36,106802
143,24,Male,Master,15,Data Scientist,6,7,MNC,37,160489
144,27,Female,Master,1,Data Analyst,5,7,Startup,51,89895
145,29,Female,Master,25,Data Analyst,2,2,MNC,50,156442
146,48,Male,Bachelor,24,Data Scientist,9,0,Medium Scale,42,175356
147,30,Male,PhD,1,Data Analyst,10,1,MNC,52,99677
148,58,Male,Master,11,Data Scientist,4,4,Medium Scale,49,123013
149,54,Male,PhD,7,Data Analyst,4,0,Startup,41,111752
150,45,Male,Master,8,Manager,5,1,Medium Scale,43,121251
151,36,Female,Master,11,Data Analyst,8,2,MNC,40,121670
152,53,Female,Bachelor,25,Designer,10,7,Medium Scale,52,176237
153,53,Male,Bachelor,8,Data Scientist,4,3,Medium Scale,52,103360
154,45,Male,PhD,9,Developer,5,4,MNC,59,127359
155,33,Male,Bachelor,24,Developer,4,2,Medium Scale,58,148964
156,23,Female,Bachelor,1,Data Scientist,6,7,MNC,48,93118
157,24,Male,PhD,15,Manager,3,6,Startup,48,158283
158,58,Male,Bachelor,19,Data Analyst,8,1,Medium Scale,48,149323
159,38,Female,Master,6,Manager,6,4,Startup,59,117258
160,23,Female,PhD,27,Developer,10,0,Medium Scale,38,206031
161,23,Male,PhD,1,Data Scientist,5,6,Medium Scale,38,102380
162,49,Male,Master,0,Data Scientist,2,7,Startup,49,71880
163,44,Male,Bachelor,18,Manager,10,6,Medium Scale,49,165892
164,58,Female,PhD,27,Manager,10,5,Medium Scale,52,225413
165,53,Male,PhD,3,Data Analyst,7,3,Startup,48,101209
166,54,Male,Master,23,Designer,2,7,Medium Scale,35,165089
167,22,Male,Master,21,Designer,1,6,MNC,44,148242
168,40,Female,Bachelor,26,Data Analyst,7,1,Medium Scale,54,165954
169,23,Female,PhD,1,Designer,5,3,Medium Scale,44,91925
170,47,Male,Bachelor,24,Developer,1,4,Medium Scale,44,152558
171,53,Male,Bachelor,13,Designer,4,5,Startup,58,108918
172,27,Female,Master,1,Data Analyst,4,7,MNC,36,87666
173,53,Female,PhD,28,Designer,10,2,MNC,42,219216
174,25,Female,PhD,14,Data Scientist,7,3,Medium Scale,35,152549
175,32,Female,PhD,11,Manager,9,0,Startup,35,150581
176,38,Female,Master,4,Developer,2,1,Startup,38,79185
177,59,Female,Master,27,Data Scientist,1,7,MNC,41,197401
178,45,Female,Master,19,Data Scientist,2,0,Startup,43,142331
179,26,Female,Master,28,Data Analyst,7,3,Medium Scale,50,186302
180,55,Female,Master,6,Manager,10,7,Medium Scale,39,124767
181,27,Male,PhD,23,Manager,6,5,Startup,36,205607
182,43,Male,Bachelor,20,Developer,4,2,Medium Scale,57,134460
183,32,Male,PhD,9,Data Analyst,1,2,MNC,45,109249
184,37,Female,Bachelor,13,Developer,1,0,Medium Scale,52,100654
185,54,Male,Master,13,Designer,5,4,Startup,59,125041
186,30,Female,Bachelor,4,Data Scientist,1,4,MNC,59,84855
187,27,Female,PhD,17,Developer,7,5,Medium Scale,53,163459
188,37,Male,PhD,23,Data Scientist,1,2,MNC,47,178744
189,50,Female,Bachelor,13,Data Analyst,1,0,Startup,58,100973
190,24,Male,Master,1,Designer,2,0,Medium Scale,45,55478
191,41,Male,Master,25,Data Analyst,10,7,Medium Scale,54,191501
192,57,Male,PhD,11,Designer,3,7,MNC,53,130314
193,40,Female,Bachelor,21,Designer,1,0,Medium Scale,51,127280
194,47,Male,Master,23,Data Scientist,9,7,Medium Scale,39,182177
195,24,Female,Master,5,Data Analyst,10,3,Medium Scale,47,100825
196,40,Male,PhD,3,Data Analyst,8,7,Medium Scale,54,114303
197,41,Male,Master,12,Developer,5,5,Startup,35,127663
198,53,Male,Bachelor,3,Data Analyst,2,4,Medium Scale,44,78411
199,28,Female,PhD,21,Developer,5,4,MNC,42,171580
200,54,Female,PhD,13,Manager,6,3,Startup,58,152915
201,39,Female,Bachelor,15,Manager,1,1,MNC,42,122137
202,22,Male,PhD,28,Manager,4,3,MNC,53,206267
203,32,Male,Master,3,Data Analyst,9,5,MNC,40,102938
204,49,Female,Master,23,Data Analyst,2,0,Startup,46,164688
205,46,Female,Bachelor,24,Developer,5,3,Startup,41,154537
206,44,Female,Master,0,Designer,1,0,Startup,50,49539
207,52,Female,Bachelor,12,Developer,4,5,Medium Scale,43,115532
208,51,Female,Bachelor,3,Manager,4,6,MNC,55,92590
209,56,Female,Master,19,Developer,6,5,Startup,59,155174
210,28,Male,Bachelor,17,Designer,10,2,MNC,56,146940
211,37,Female,Master,5,Data Analyst,9,0,Startup,44,92667
212,47,Male,PhD,2,Developer,3,4,Startup,44,84527
213,23,Male,PhD,22,Manager,9,3,Startup,44,199191
214,22,Female,Bachelor,12,Manager,6,6,MNC,54,132317
215,33,Female,Master,26,Data Analyst,7,5,Medium Scale,50,184225
216,26,Male,Master,15,Developer,10,0,Startup,35,152303
217,58,Female,PhD,26,Designer,2,6,Startup,51,184448
218,53,Female,PhD,4,Data Analyst,10,1,Startup,55,111746
219,30,Male,Master,3,Developer,6,2,Medium Scale,48,85621
220,56,Male,Bachelor,20,Data Scientist,6,1,MNC,53,156354
221,40,Male,PhD,7,Manager,2,5,MNC,55,121872
222,37,Female,Bachelor,18,Designer,2,1,MNC,55,120765
223,24,Male,Bachelor,13,Designer,2,1,MNC,51,106496
224,41,Female,PhD,6,Designer,10,2,Startup,48,125274
225,45,Male,Bachelor,13,Manager,1,2,Medium Scale,42,118588
226,54,Male,Bachelor,5,Developer,5,7,Startup,55,100091
227,45,Male,Master,11,Data Analyst,8,2,Medium Scale,55,133903
228,32,Female,Bachelor,15,Developer,2,6,MNC,43,111969
229,29,Female,Master,16,Data Analyst,5,7,Medium Scale,42,135540
230,57,Male,PhD,12,Designer,8,2,Startup,47,142978
231,59,Male,PhD,22,Developer,10,1,Startup,51,191326
232,41,Male,Master,13,Designer,5,4,MNC,53,122376
233,56,Female,PhD,28,Data Scientist,2,4,Startup,41,200489
234,46,Male,Bachelor,6,Designer,3,7,Startup,51,80898
235,56,Female,Bachelor,13,Designer,6,2,Medium Scale,35,107159
236,46,Male,Bachelor,14,Data Analyst,5,6,Startup,39,130181
237,50,Male,PhD,11,Data Scientist,4,3,MNC,59,136593
238,39,Male,Bachelor,16,Designer,4,0,MNC,40,118509
239,39,Male,PhD,8,Designer,5,5,Startup,36,110870
240,23,Male,Bachelor,21,Data Scientist,2,6,MNC,59,158011
241,56,Male,Master,14,Data Scientist,9,3,Medium Scale,50,150938
242,37,Female,PhD,11,Developer,2,5,Medium Scale,56,119776
243,57,Male,PhD,1,Data Analyst,10,3,Startup,39,106795
244,54,Female,Bachelor,4,Data Scientist,2,3,Startup,39,80523
245,25,Male,PhD,12,Data Scientist,10,7,Medium Scale,46,161249
246,54,Male,PhD,26,Manager,9,4,MNC,37,202985
247,35,Female,Master,19,Data Scientist,3,0,Startup,50,145198
248,42,Male,Master,22,Data Analyst,10,3,Startup,40,176012
249,41,Female,Bachelor,7,Designer,7,2,MNC,49,88757
250,29,Female,Master,26,Designer,4,5,Startup,49,173391
251,28,Male,Bachelor,13,Designer,6,6,MNC,50,126483
252,24,Female,Bachelor,14,Designer,4,4,MNC,54,114612
253,38,Female,Bachelor,10,Manager,10,5,MNC,47,122016
254,54,Male,PhD,0,Data Scientist,7,7,MNC,46,107075
255,33,Female,Master,20,Designer,1,2,MNC,44,138996
256,43,Male,Bachelor,2,Developer,3,2,Medium Scale,48,59373
257,43,Male,Master,16,Designer,3,3,MNC,36,132673
258,51,Male,Bachelor,27,Data Scientist,1,2,Medium Scale,37,161188
259,59,Male,Master,18,Designer,6,0,MNC,43,139311
260,59,Female,Master,13,Manager,9,7,Startup,45,147631
261,29,Male,Bachelor,21,Data Analyst,8,2,Medium Scale,45,152521
262,48,Male,PhD,29,Data Analyst,7,3,Startup,59,213540
263,48,Female,Master,22,Data Scientist,10,5,MNC,56,184691
264,55,Male,PhD,7,Data Analyst,8,7,MNC,44,129399
265,42,Male,PhD,12,Data Analyst,6,2,Startup,48,138138
266,51,Female,Bachelor,26,Developer,9,4,MNC,43,177888
267,54,Female,Bachelor,19,Data Scientist,3,7,Startup,54,152468
268,49,Female,Bachelor,2,Data Scientist,10,7,MNC,55,101999
269,54,Female,Master,4,Data Analyst,10,6,MNC,44,114108
270,26,Female,Bachelor,8,Data Analyst,9,4,Medium Scale,56,108338
271,40,Female,Bachelor,28,Data Analyst,4,4,Startup,43,166696
272,25,Female,Master,5,Manager,7,5,MNC,39,119289
273,56,Male,Master,24,Designer,9,1,Startup,42,179749
274,38,Female,Bachelor,21,Manager,2,6,Medium Scale,45,170308
275,49,Female,Bachelor,1,Data Scientist,2,4,Startup,35,77258
276,51,Female,Bachelor,12,Developer,9,4,Medium Scale,55,119048
277,50,Male,Bachelor,4,Designer,3,1,Startup,44,68935
278,27,Male,PhD,27,Developer,9,5,Startup,35,206646
279,56,Female,PhD,26,Data Scientist,5,6,Medium Scale,56,203467
280,58,Female,Bachelor,24,Data Scientist,6,4,MNC,41,171432
281,45,Female,PhD,7,Developer,2,3,MNC,48,113928
282,50,Male,Master,22,Developer,8,5,MNC,39,162554
283,52,Male,PhD,0,Developer,9,6,Startup,51,96487
284,56,Female,PhD,19,Data Scientist,2,4,Startup,56,173097
285,54,Male,Bachelor,11,Data Analyst,6,4,MNC,55,119268
286,42,Female,PhD,22,Developer,6,1,Startup,40,171202
287,53,Male,PhD,10,Designer,8,6,Startup,50,145253
288,44,Male,PhD,6,Data Scientist,10,3,MNC,45,138379
289,54,Female,PhD,14,Manager,5,5,Medium Scale,44,159661
290,24,Female,Master,21,Manager,9,2,Startup,49,167323
291,39,Female,Bachelor,23,Designer,1,0,Startup,41,129159
292,46,Female,Bachelor,10,Data Analyst,9,3,Startup,57,110709
293,52,Male,Master,28,Developer,10,2,Startup,36,198799
294,24,Male,PhD,21,Data Scientist,7,3,Medium Scale,46,189815
295,45,Male,Master,25,Developer,4,6,MNC,53,171667
296,53,Female,PhD,15,Data Scientist,3,2,Startup,46,149343
297,43,Male,Master,2,Manager,10,6,MNC,50,111837
298,44,Female,Bachelor,19,Developer,6,2,Startup,40,137906
299,23,Male,Bachelor,13,Designer,1,3,Medium Scale,37,102818
300,48,Female,Bachelor,2,Data Analyst,3,1,MNC,36,63849
301,23,Female,PhD,0,Designer,2,3,Medium Scale,54,69128
302,47,Male,PhD,25,Data Analyst,9,6,Startup,39,202462
303,38,Female,Master,20,Developer,3,3,Medium Scale,45,146887
304,54,Female,Master,14,Developer,2,7,Medium Scale,59,131448
305,30,Male,Bachelor,0,Data Analyst,4,7,Startup,37,63343
306,50,Female,PhD,16,Manager,2,2,Startup,37,158019
307,47,Female,Master,1,Data Scientist,1,7,MNC,56,84814
308,56,Female,PhD,28,Designer,6,0,Startup,39,194258
309,46,Male,PhD,19,Designer,10,2,MNC,56,163226
310,45,Male,Bachelor,5,Designer,8,7,Medium Scale,57,98550
311,34,Female,Bachelor,7,Developer,10,4,Medium Scale,45,107735
312,28,Male,PhD,28,Designer,10,3,MNC,37,210643
313,57,Female,PhD,15,Data Scientist,2,5,Startup,47,152701
314,41,Female,PhD,18,Data Scientist,9,3,Startup,55,170092
315,22,Female,PhD,0,Data Analyst,3,7,Medium Scale,42,93873
316,29,Female,Bachelor,2,Developer,8,1,MNC,54,81931
317,37,Female,Master,27,Data Scientist,8,6,Medium Scale,44,196431
318,35,Male,Bachelor,2,Manager,3,5,Medium Scale,36,89725
319,33,Female,Master,4,Developer,3,2,Startup,38,87157
320,44,Male,PhD,26,Developer,6,1,MNC,52,184784
321,36,Male,Master,11,Data Scientist,1,3,Medium Scale,53,114029
322,49,Female,Bachelor,11,Manager,4,7,Startup,38,117522
323,55,Female,Bachelor,19,Data Analyst,1,2,Medium Scale,54,128174
324,23,Male,PhD,12,Data Scientist,3,2,Medium Scale,43,140741
325,53,Male,Bachelor,19,Manager,9,4,Startup,50,157897
326,44,Male,PhD,8,Developer,5,4,Startup,40,122429
327,43,Female,Bachelor,6,Manager,5,7,MNC,59,110195
328,46,Male,Bachelor,3,Developer,4,7,Medium Scale,38,80767
329,43,Female,PhD,18,Data Scientist,3,0,MNC,43,161772
330,43,Female,Master,21,Data Scientist,5,4,Startup,47,161357
331,27,Female,Bachelor,18,Designer,4,6,Startup,43,133392
332,36,Male,Master,5,Designer,8,5,Medium Scale,40,102261
333,58,Female,Bachelor,26,Designer,4,2,MNC,55,167305
334,54,Female,Bachelor,12,Data Scientist,8,4,MNC,53,129012
335,29,Female,Bachelor,10,Data Analyst,6,7,Medium Scale,48,114627
336,26,Female,Bachelor,12,Data Scientist,5,0,Medium Scale,55,110839
337,25,Female,Master,12,Manager,4,7,MNC,49,132725
338,27,Male,Master,27,Data Scientist,4,7,Startup,37,187084
339,53,Female,Bachelor,24,Data Scientist,4,7,Startup,39,169398
340,51,Female,Bachelor,21,Developer,9,3,Medium Scale,55,166310
341,56,Male,Master,27,Developer,4,5,MNC,52,178489
342,37,Female,PhD,19,Developer,9,4,MNC,48,176323
343,34,Male,PhD,14,Data Scientist,10,2,MNC,50,166785
344,51,Female,Master,20,Data Analyst,6,3,Startup,48,151042
345,40,Male,Bachelor,12,Manager,10,7,Startup,43,141324
346,38,Male,Bachelor,21,Manager,7,6,MNC,49,173622
347,40,Female,PhD,10,Data Analyst,10,2,MNC,41,142141
348,49,Female,PhD,18,Data Analyst,3,3,Medium Scale,48,146030
349,47,Female,Master,7,Manager,8,6,Medium Scale,40,129972
350,58,Male,PhD,19,Designer,3,6,MNC,55,157745
351,47,Male,Master,7,Developer,1,5,MNC,49,90375
352,44,Male,PhD,9,Developer,10,2,Startup,54,136024
353,30,Female,PhD,25,Manager,5,4,MNC,42,211114
354,33,Male,PhD,15,Data Analyst,2,4,Medium Scale,36,141997
355,22,Male,Bachelor,18,Designer,10,0,Startup,42,145895
356,22,Female,Bachelor,25,Manager,6,3,Medium Scale,35,172295
357,55,Male,Bachelor,22,Developer,10,0,Medium Scale,51,158653
358,53,Male,PhD,10,Data Scientist,9,1,Startup,53,141294
359,46,Female,Master,12,Data Analyst,1,4,Medium Scale,39,114910
360,22,Male,Master,27,Data Scientist,4,3,MNC,56,186018
361,37,Female,Master,8,Manager,1,5,Medium Scale,54,105294
362,26,Female,Master,19,Developer,1,0,Startup,50,129062
363,43,Female,Bachelor,23,Designer,8,5,Startup,41,154283
364,50,Female,Bachelor,18,Data Scientist,2,5,Startup,41,132965
365,24,Female,PhD,15,Designer,1,7,Medium Scale,52,143401
366,33,Male,PhD,6,Developer,8,7,MNC,52,123244
367,47,Male,Master,18,Data Scientist,4,5,Startup,36,155654
368,37,Female,Bachelor,11,Designer,3,0,MNC,49,103577
369,58,Female,Master,14,Designer,4,7,Startup,48,128020
370,43,Male,PhD,22,Data Scientist,5,1,MNC,52,185171
371,50,Female,PhD,13,Developer,1,6,MNC,43,133640
372,35,Female,Master,10,Designer,1,6,MNC,48,118313
373,49,Female,PhD,25,Manager,3,7,Startup,39,187911
374,26,Male,Master,9,Data Scientist,6,0,Medium Scale,45,112411
375,51,Male,Bachelor,26,Data Analyst,1,6,Medium Scale,42,165770
376,26,Female,Master,10,Data Analyst,2,2,Medium Scale,39,101235
377,33,Female,Bachelor,5,Developer,7,6,MNC,45,94330
378,37,Male,Bachelor,1,Manager,1,4,Startup,39,72199
379,47,Male,PhD,10,Designer,7,0,MNC,51,129824
380,47,Female,PhD,18,Data Analyst,4,7,Startup,56,158839
381,42,Female,PhD,5,Developer,10,7,MNC,38,126364
382,57,Male,Master,13,Manager,6,6,Startup,49,148330
383,54,Male,Master,19,Manager,8,0,Startup,53,166658
384,51,Male,PhD,5,Developer,9,1,Startup,56,114747
385,58,Female,Master,16,Developer,6,2,MNC,36,143012
386,44,Male,PhD,9,Designer,9,7,Medium Scale,58,128600
387,31,Female,Master,27,Developer,4,0,MNC,51,173624
388,26,Male,Bachelor,0,Designer,6,7,MNC,46,62454
389,57,Male,Bachelor,2,Designer,8,7,Startup,59,85288
390,55,Male,PhD,7,Data Scientist,9,4,Startup,58,132310
391,52,Male,Master,7,Manager,3,6,Medium Scale,51,102137
392,31,Female,Master,26,Manager,2,4,Medium Scale,44,188907
393,40,Female,Bachelor,19,Manager,6,6,Startup,59,158658
394,53,Male,Bachelor,21,Data Scientist,4,7,Medium Scale,52,161283
395,22,Female,PhD,14,Designer,1,0,Medium Scale,53,133635
396,26,Male,Bachelor,23,Designer,8,5,Startup,52,164357
397,25,Male,PhD,6,Developer,9,6,MNC,47,126347
398,37,Male,Bachelor,10,Data Scientist,9,5,Medium Scale,48,124763
399,45,Male,Bachelor,6,Developer,2,2,Startup,58,71263
400,37,Female,Master,28,Data Scientist,9,4,Medium Scale,50,204423
401,23,Male,Bachelor,3,Developer,7,5,Medium Scale,52,91869
402,49,Male,Bachelor,24,Data Analyst,5,4,Startup,52,159623
403,53,Female,PhD,11,Manager,7,6,Medium Scale,50,154719
404,48,Male,Bachelor,25,Manager,9,6,Medium Scale,51,197785
405,41,Male,PhD,5,Designer,8,2,Medium Scale,41,103293
406,45,Male,Bachelor,13,Data Analyst,6,6,MNC,46,126100
407,33,Female,Bachelor,11,Manager,4,7,MNC,36,116555
408,56,Male,PhD,10,Designer,1,2,Medium Scale,44,115495
409,54,Female,Master,18,Data Analyst,6,5,Startup,39,151387
410,54,Male,PhD,20,Manager,3,6,Medium Scale,55,184562
411,58,Male,PhD,4,Developer,6,0,Medium Scale,37,95937
412,33,Female,PhD,13,Data Scientist,6,3,MNC,53,148824
413,24,Male,Master,20,Data Analyst,4,1,MNC,47,151820
414,22,Male,Bachelor,23,Designer,2,7,MNC,46,147950
415,54,Female,PhD,15,Data Analyst,9,3,Medium Scale,37,162777
416,31,Female,PhD,24,Designer,2,3,Medium Scale,40,174545
417,50,Female,Master,12,Data Analyst,3,4,Startup,48,116271
418,34,Female,PhD,24,Designer,10,7,Medium Scale,38,197923
419,33,Female,Bachelor,28,Manager,1,7,Medium Scale,47,185017
420,52,Male,Master,21,Developer,7,2,MNC,53,158399
421,23,Female,Bachelor,21,Manager,1,4,MNC,52,156151
422,56,Male,Bachelor,24,Developer,9,5,MNC,37,169143
423,44,Male,Master,19,Manager,1,1,MNC,54,147134
424,38,Male,PhD,21,Manager,5,5,MNC,40,193551
